date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2021-12-24,2021,2021-W51,51,3300.19,微信图片_20260524162035_1100_1.jpg,13,"20211224 3,300.19",reviewed,
2021-12-31,2021,2021-W52,52,3344.24,微信图片_20260524162035_1100_1.jpg,12,"20211231 3,344.24",reviewed,
2022-01-07,2022,2022-W01,1,3432.79,微信图片_20260524162035_1100_1.jpg,11,"20220107 3,432.79",reviewed,
2022-01-14,2022,2022-W02,2,3489.94,微信图片_20260524162035_1100_1.jpg,10,"20220114 3,489.94",reviewed,
2022-01-21,2022,2022-W03,3,3555.24,微信图片_20260524162035_1100_1.jpg,9,"20220121 3,555.24",reviewed,
2022-01-28,2022,2022-W04,4,3565.33,微信图片_20260524162035_1100_1.jpg,8,"20220128 3,565.33",reviewed,
2022-02-11,2022,2022-W06,6,3587.91,微信图片_20260524162035_1100_1.jpg,7,"20220211 3,587.91",reviewed,
2022-02-18,2022,2022-W07,7,3500.19,微信图片_20260524162035_1100_1.jpg,6,"20220218 3,500.19",reviewed,
2022-02-25,2022,2022-W08,8,3425.58,微信图片_20260524162035_1100_1.jpg,5,"20220225 3,425.58",reviewed,
2022-03-04,2022,2022-W09,9,3388.59,微信图片_20260524162035_1100_1.jpg,4,"20220304 3,388.59",reviewed,
2022-03-11,2022,2022-W10,10,3366.01,微信图片_20260524162035_1100_1.jpg,3,"20220311 3,366.01",reviewed,
2022-03-18,2022,2022-W11,11,3301.10,微信图片_20260524162035_1100_1.jpg,2,"20220318 3,301.10",reviewed,
2022-03-25,2022,2022-W12,12,3274.90,微信图片_20260524162035_1100_1.jpg,1,"20220325 3,274.90",reviewed,
2022-04-01,2022,2022-W13,13,3204.83,微信图片_20260524162036_1101_1.jpg,13,"20220401 3,204.83",reviewed,
2022-04-08,2022,2022-W14,14,3117.75,微信图片_20260524162036_1101_1.jpg,12,"20220408 3,117.75",reviewed,
2022-04-15,2022,2022-W15,15,3128.45,微信图片_20260524162036_1101_1.jpg,11,"20220415 3,128.45",reviewed,
2022-04-22,2022,2022-W16,16,3109.78,微信图片_20260524162036_1101_1.jpg,10,"20220422 3,109.78",reviewed,
2022-04-29,2022,2022-W17,17,3096.85,微信图片_20260524162036_1101_1.jpg,9,"20220429 3,096.85",reviewed,
2022-05-06,2022,2022-W18,18,3056.98,微信图片_20260524162036_1101_1.jpg,8,"20220506 3,056.98",reviewed,
2022-05-13,2022,2022-W19,19,3088.03,微信图片_20260524162036_1101_1.jpg,7,"20220513 3,088.03",reviewed,
2022-05-20,2022,2022-W20,20,3135.78,微信图片_20260524162036_1101_1.jpg,6,"20220520 3,135.78",reviewed,
2022-05-27,2022,2022-W21,21,3190.95,微信图片_20260524162036_1101_1.jpg,5,"20220527 3,190.95",reviewed,
2022-06-02,2022,2022-W22,22,3186.65,微信图片_20260524162036_1101_1.jpg,4,"20220602 3,186.65",reviewed,
2022-06-10,2022,2022-W23,23,3229.56,微信图片_20260524162036_1101_1.jpg,3,"20220610 3,229.56",reviewed,
2022-06-17,2022,2022-W24,24,3252.50,微信图片_20260524162036_1101_1.jpg,2,"20220617 3,252.50",reviewed,
2022-06-24,2022,2022-W25,25,3244.78,微信图片_20260524162036_1101_1.jpg,1,"20220624 3,244.78",reviewed,
2022-07-01,2022,2022-W26,26,3271.07,微信图片_20260524162039_1102_1.jpg,13,"20220701 3,271.07",reviewed,
2022-07-08,2022,2022-W27,27,3232.18,微信图片_20260524162039_1102_1.jpg,12,"20220708 3,232.18",reviewed,
2022-07-15,2022,2022-W28,28,3276.85,微信图片_20260524162039_1102_1.jpg,11,"20220715 3,276.85",reviewed,
2022-07-22,2022,2022-W29,29,3229.72,微信图片_20260524162039_1102_1.jpg,10,"20220722 3,229.72",reviewed,
2022-07-29,2022,2022-W30,30,3188.61,微信图片_20260524162039_1102_1.jpg,9,"20220729 3,188.61",reviewed,
2022-08-05,2022,2022-W31,31,3163.45,微信图片_20260524162039_1102_1.jpg,8,"20220805 3,163.45",reviewed,
2022-08-12,2022,2022-W32,32,3073.28,微信图片_20260524162039_1102_1.jpg,7,"20220812 3,073.28",reviewed,
2022-08-19,2022,2022-W33,33,2993.67,微信图片_20260524162039_1102_1.jpg,6,"20220819 2,993.67",reviewed,
2022-08-26,2022,2022-W34,34,2904.00,微信图片_20260524162039_1102_1.jpg,5,"20220826 2,904.00",reviewed,
2022-09-02,2022,2022-W35,35,2830.11,微信图片_20260524162039_1102_1.jpg,4,"20220902 2,830.11",reviewed,
2022-09-09,2022,2022-W36,36,2722.77,微信图片_20260524162039_1102_1.jpg,3,"20220909 2,722.77",reviewed,
2022-09-16,2022,2022-W37,37,2609.09,微信图片_20260524162039_1102_1.jpg,2,"20220916 2,609.09",reviewed,
2022-09-23,2022,2022-W38,38,2475.97,微信图片_20260524162039_1102_1.jpg,1,"20220923 2,475.97",reviewed,
2022-09-30,2022,2022-W39,39,2328.81,微信图片_20260524162041_1103_1.jpg,13,"20220930 2,328.81",reviewed,
2022-10-14,2022,2022-W41,41,2026.26,微信图片_20260524162041_1103_1.jpg,12,"20221014 2,026.26",reviewed,
2022-10-21,2022,2022-W42,42,1959.96,微信图片_20260524162041_1103_1.jpg,11,"20221021 1,959.96",reviewed,
2022-10-28,2022,2022-W43,43,1862.25,微信图片_20260524162041_1103_1.jpg,10,"20221028 1,862.25",reviewed,
2022-11-04,2022,2022-W44,44,1790.86,微信图片_20260524162041_1103_1.jpg,9,"20221104 1,790.86",reviewed,
2022-11-11,2022,2022-W45,45,1729.92,微信图片_20260524162041_1103_1.jpg,8,"20221111 1,729.92",reviewed,
2022-11-18,2022,2022-W46,46,1651.26,微信图片_20260524162041_1103_1.jpg,7,"20221118 1,651.26",reviewed,
2022-11-25,2022,2022-W47,47,1563.46,微信图片_20260524162041_1103_1.jpg,6,"20221125 1,563.46",reviewed,
2022-12-02,2022,2022-W48,48,1464.76,微信图片_20260524162041_1103_1.jpg,5,"20221202 1,464.76",reviewed,
2022-12-09,2022,2022-W49,49,1410.11,微信图片_20260524162041_1103_1.jpg,4,"20221209 1,410.11",reviewed,
2022-12-16,2022,2022-W50,50,1339.43,微信图片_20260524162041_1103_1.jpg,3,"20221216 1,339.43",reviewed,
2022-12-23,2022,2022-W51,51,1307.54,微信图片_20260524162041_1103_1.jpg,2,"20221223 1,307.54",reviewed,
2022-12-30,2022,2022-W52,52,1271.31,微信图片_20260524162041_1103_1.jpg,1,"20221230 1,271.31",reviewed,
2023-01-06,2023,2023-W01,1,1255.89,微信图片_20260524162042_1104_1.jpg,13,"20230106 1,255.89",reviewed,
2023-01-13,2023,2023-W02,2,1201.55,微信图片_20260524162042_1104_1.jpg,12,"20230113 1,201.55",reviewed,
2023-01-20,2023,2023-W03,3,1160.59,微信图片_20260524162042_1104_1.jpg,11,"20230120 1,160.59",reviewed,
2023-02-03,2023,2023-W05,5,1110.00,微信图片_20260524162042_1104_1.jpg,10,"20230203 1,110.00",reviewed,
2023-02-10,2023,2023-W06,6,1133.10,微信图片_20260524162042_1104_1.jpg,9,"20230210 1,133.10",reviewed,
2023-02-17,2023,2023-W07,7,1094.05,微信图片_20260524162042_1104_1.jpg,8,"20230217 1,094.05",reviewed,
2023-02-24,2023,2023-W08,8,1077.75,微信图片_20260524162042_1104_1.jpg,7,"20230224 1,077.75",reviewed,
2023-03-03,2023,2023-W09,9,1057.68,微信图片_20260524162042_1104_1.jpg,6,"20230303 1,057.68",reviewed,
2023-03-10,2023,2023-W10,10,1020.60,微信图片_20260524162042_1104_1.jpg,5,"20230310 1,020.60",reviewed,
2023-03-17,2023,2023-W11,11,992.50,微信图片_20260524162042_1104_1.jpg,4,"20230317 992.50",reviewed,
2023-03-24,2023,2023-W12,12,977.12,微信图片_20260524162042_1104_1.jpg,3,"20230324 977.12",reviewed,
2023-03-31,2023,2023-W13,13,958.43,微信图片_20260524162042_1104_1.jpg,2,"20230331 958.43",reviewed,
2023-04-07,2023,2023-W14,14,952.89,微信图片_20260524162042_1104_1.jpg,1,"20230407 952.89",reviewed,
2023-04-14,2023,2023-W15,15,942.14,微信图片_20260524162043_1105_1.jpg,13,"20230414 942.14",reviewed,
2023-04-21,2023,2023-W16,16,934.39,微信图片_20260524162043_1105_1.jpg,12,"20230421 934.39",reviewed,
2023-04-28,2023,2023-W17,17,964.49,微信图片_20260524162043_1105_1.jpg,11,"20230428 964.49",reviewed,
2023-05-05,2023,2023-W18,18,967.58,微信图片_20260524162043_1105_1.jpg,10,"20230505 967.58",reviewed,
2023-05-12,2023,2023-W19,19,955.93,微信图片_20260524162043_1105_1.jpg,9,"20230512 955.93",reviewed,
2023-05-19,2023,2023-W20,20,946.18,微信图片_20260524162043_1105_1.jpg,8,"20230519 946.18",reviewed,
2023-05-26,2023,2023-W21,21,938.74,微信图片_20260524162043_1105_1.jpg,7,"20230526 938.74",reviewed,
2023-06-02,2023,2023-W22,22,930.97,微信图片_20260524162043_1105_1.jpg,6,"20230602 930.97",reviewed,
2023-06-09,2023,2023-W23,23,921.48,微信图片_20260524162043_1105_1.jpg,5,"20230609 921.48",reviewed,
2023-06-16,2023,2023-W24,24,926.63,微信图片_20260524162043_1105_1.jpg,4,"20230616 926.63",reviewed,
2023-06-21,2023,2023-W25,25,919.63,微信图片_20260524162043_1105_1.jpg,3,"20230621 919.63",reviewed,
2023-06-30,2023,2023-W26,26,895.72,微信图片_20260524162043_1105_1.jpg,2,"20230630 895.72",reviewed,
2023-07-07,2023,2023-W27,27,880.20,微信图片_20260524162043_1105_1.jpg,1,"20230707 880.20",reviewed,
2023-07-14,2023,2023-W28,28,869.92,微信图片_20260524162044_1106_1.jpg,13,"20230714 869.92",reviewed,
2023-07-21,2023,2023-W29,29,866.08,微信图片_20260524162044_1106_1.jpg,12,"20230721 866.08",reviewed,
2023-07-28,2023,2023-W30,30,863.37,微信图片_20260524162044_1106_1.jpg,11,"20230728 863.37",reviewed,
2023-08-04,2023,2023-W31,31,864.39,微信图片_20260524162044_1106_1.jpg,10,"20230804 864.39",reviewed,
2023-08-11,2023,2023-W32,32,874.58,微信图片_20260524162044_1106_1.jpg,9,"20230811 874.58",reviewed,
2023-08-18,2023,2023-W33,33,889.52,微信图片_20260524162044_1106_1.jpg,8,"20230818 889.52",reviewed,
2023-08-25,2023,2023-W34,34,894.66,微信图片_20260524162044_1106_1.jpg,7,"20230825 894.66",reviewed,
2023-09-01,2023,2023-W35,35,892.98,微信图片_20260524162044_1106_1.jpg,6,"20230901 892.98",reviewed,
2023-09-08,2023,2023-W36,36,890.34,微信图片_20260524162044_1106_1.jpg,5,"20230908 890.34",reviewed,
2023-09-15,2023,2023-W37,37,875.21,微信图片_20260524162044_1106_1.jpg,4,"20230915 875.21",reviewed,
2023-09-22,2023,2023-W38,38,871.80,微信图片_20260524162044_1106_1.jpg,3,"20230922 871.80",reviewed,
2023-09-28,2023,2023-W39,39,851.96,微信图片_20260524162044_1106_1.jpg,2,"20230928 851.96",reviewed,
2023-10-13,2023,2023-W41,41,819.97,微信图片_20260524162044_1106_1.jpg,1,"20231013 819.97",reviewed,
2023-10-20,2023,2023-W42,42,817.20,微信图片_20260524162045_1107_1.jpg,13,"20231020 817.20",reviewed,
2023-10-27,2023,2023-W43,43,811.50,微信图片_20260524162045_1107_1.jpg,12,"20231027 811.50",reviewed,
2023-11-03,2023,2023-W44,44,827.84,微信图片_20260524162045_1107_1.jpg,11,"20231103 827.84",reviewed,
2023-11-10,2023,2023-W45,45,843.77,微信图片_20260524162045_1107_1.jpg,10,"20231110 843.77",reviewed,
