metric_key,metric_name,year,value,unit,source_type,source_file,page,source_url,evidence_text,confidence,status,note
buyback_amount,回购金额,2017,0.00,亿元,annual_report,中远海控2017年报.pdf,51,,年报A+H回购总额0.00亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
ccfi_average,CCFI 年均值,2017,820.0,点,external,,,file://data/external_sources/ccfi_annual_sources.md#2017,主流机构引述值820点，月均值范围753–877，全年12个月算术平均约820,high,reviewed,交通运输部月度数据 + 主流机构引述
container_shipping_cost,集装箱航运成本,2017,803.60,亿元,annual_report,中远海控2017年报.pdf,13,,集装箱航运业务成本803.60亿元,high,reviewed,规则抽取，与收入口径一致
container_shipping_revenue,集装箱航运收入,2017,867.51,亿元,annual_report,中远海控2017年报.pdf,13,,"2017 年实现营业收入同比增加206.34 亿元,增幅29.55%。其 中： 集装箱航运业务 2017 年集装箱航运及相关业务收入867.51 亿元，同比增加201.73 亿元，增幅30.30%。 截至2017 年末，集装箱船队自营船舶360 艘，比年初增加48 艘",medium,reviewed,人工核对年报确认
dividend_per_share,每股股利,2017,0,元/股,external,,,akshare.stock_history_dividend_detail(symbol='601919'),akshare: 2017年度不分配,high,reviewed,akshare分红数据+年报核对
dividend_total,分红总额,2017,0,亿元,external,,,akshare.stock_history_dividend_detail(symbol='601919'),2017年度不分配,high,reviewed,年报原文+akshare交叉验证
eps,基本每股收益,2017,0.26,元/股,annual_report,中远海控2017年报.pdf,6,,标 2017年 2016年 本期比上年同 期增减(%) 2015年 调整后 调整前 调整后 调整前 基本每股收益（元／股） 0.26 -0.97 -0.97 0.05 0.03 稀释每股收益（元／股） 0.26 -0.97 -0.97 0.05 0.03 扣除非经常性损益后的基本每 股收益（,high,reviewed,
equity_parent,归属于上市公司股东的净资产,2017,206.69,亿元,annual_report,中远海控2017年报.pdf,6,,"末 2016年末 本期末比 上年同期 末增减（ %） 2015年末 调整后 调整前 调整后 调整前 归属于上市公司股东的净 资产 20,669,286 ,170.30 18,323,295 ,777.80 18,323,295 ,777.80 12.80 28,559,548,9 28.71 24,653,3 25,636.",high,reviewed,
freight_volume,航运运量,2017,2091.4,万TEU,annual_report,中远海控2017年报.pdf,10,,本集团集装箱航运货运量合计2091.4万TEU,high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行
interest_bearing_debt,有息负债,2017,629.89,亿元,annual_report,中远海控2017年报.pdf,74,,短期借款109.40亿；长期借款300.38亿；应付债券133.85亿；一年内到期非流动负债86.27亿；合计629.89亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2017,517,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2017,26.62,亿元,annual_report,中远海控2017年报.pdf,5,,"60.47 27.13 65,035,590 ,782.76 57,489,919 ,045.77 归属于上市公司股东的净 利润 2,661,935, 871.48 -9,906,003, 612.80 -9,906,003, 612.80 469,301,78 9.49 283,391,10 4.76",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2017,70.92,亿元,annual_report,中远海控2017年报.pdf,6,,"385, 641.21 -4,616,430, 386.55 -4,616,430, 386.55 经营活动产生的现金流量 净额 7,092,039, 383.86 1,519,532, 177.96 1,519,532, 177.96 366.73 7,071,791, 349.42 6,663,680, 638.95",high,reviewed,
pb_year_end,年末市净率PB,2017,2.50,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2017,26.0,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2017,904.64,亿元,annual_report,中远海控2017年报.pdf,5,,"2017年 2016年 本期比上 年同期增 减(%) 2015年 调整后 调整前 调整后 调整前 营业收入 90,463,957 ,861.05 71,160,180 ,860.47 71,160,180 ,860.47 27.13 65,035,590 ,782.76 57,489,919 ,045.",high,reviewed,
roe,加权平均净资产收益率,2017,13.77,%,annual_report,中远海控2017年报.pdf,6,,非经常性损益后的基本每 股收益（元／股） 0.09 -0.69 -0.69 -0.45 -0.45 加权平均净资产收益率（%） 13.77 -44.19 -44.19 增加57.96个 百分点 1.64 1.16 扣除非经常性损益后的加权平 均净资产收益率（%） 4.91 -31.01 -31.0,high,reviewed,
terminal_revenue,码头业务收入,2017,43.58,亿元,annual_report,中远海控2017年报.pdf,13,,重组完成及新交付船舶增加，中 远海运集运运力规模明显扩大，航线布局进一步优化。 码头业务 2017 年码头及相关业务收入43.58 亿元，同比增加5.95 亿元，增幅15.82%。控股集装箱 码头吞吐量1735.34 万标准箱，同比增加161.82 万标,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2017,1331.9,亿元,annual_report,中远海控2017年报.pdf,6,,"7.80 12.80 28,559,548,9 28.71 24,653,3 25,636.1 1 总资产 133,190,00 4,778.33 119,652,73 3,482.28 119,652,73 3,482.28 11.31 160,493,497, 697.31 148,193, 148,",high,reviewed,
year_end_close,年末收盘价,2017,6.77,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2017,8.52,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2017,5.01,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
buyback_amount,回购金额,2018,0.00,亿元,annual_report,中远海控2018年报.pdf,51,,年报A+H回购总额0.00亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
